own_id,entity_id,individual_id,pct,role,start_date,end_date
OWN-1042,ENT-0041,IND-C0041,100.0,managing owner,2016-10-30,
OWN-1043,ENT-0042,IND-C0042,100.0,managing owner,2018-02-22,
OWN-1044,ENT-0043,IND-C0043,100.0,managing owner,2011-02-05,
OWN-1045,ENT-0044,IND-C0044,100.0,managing owner,2018-10-06,
OWN-1046,ENT-0045,IND-C0045,100.0,managing owner,2010-01-23,
OWN-1047,ENT-0046,IND-C0046,100.0,managing owner,2010-03-12,
OWN-1048,ENT-0047,IND-C0047,100.0,managing owner,2011-10-07,
OWN-1049,ENT-0048,IND-C0048,100.0,managing owner,2018-05-07,
OWN-1050,ENT-0049,IND-C0049,100.0,managing owner,2010-01-24,
OWN-1051,ENT-0050,IND-C0050,100.0,managing owner,2015-07-10,
OWN-1052,ENT-0051,IND-C0051,100.0,managing owner,2016-02-24,
OWN-1053,ENT-0052,IND-C0052,100.0,managing owner,2018-01-30,
OWN-1054,ENT-0053,IND-C0053,100.0,managing owner,2009-02-19,
OWN-1055,ENT-0054,IND-C0054,100.0,managing owner,2019-08-03,
OWN-1056,ENT-0055,IND-C0055,100.0,managing owner,2021-03-02,
OWN-1057,ENT-0056,IND-C0056,100.0,managing owner,2021-09-27,
OWN-1058,ENT-0057,IND-C0057,100.0,managing owner,2009-02-18,
OWN-1059,ENT-0058,IND-C0058,100.0,managing owner,2017-09-02,
OWN-1060,ENT-0059,IND-C0059,100.0,managing owner,2022-06-23,
OWN-1061,ENT-0060,IND-C0060,100.0,managing owner,2019-08-26,
OWN-1062,ENT-0061,IND-C0061,100.0,managing owner,2008-03-29,
OWN-1063,ENT-0062,IND-C0062,100.0,managing owner,2023-02-04,
OWN-1064,ENT-0063,IND-C0063,100.0,managing owner,2017-11-16,
OWN-1065,ENT-0064,IND-C0064,100.0,managing owner,2020-09-13,
OWN-1066,ENT-0065,IND-C0065,100.0,managing owner,2020-12-11,
OWN-1067,ENT-0066,IND-C0066,100.0,managing owner,2011-05-18,
OWN-1068,ENT-0067,IND-C0067,100.0,managing owner,2021-01-04,
OWN-1069,ENT-0068,IND-C0068,100.0,managing owner,2013-09-26,
OWN-1070,ENT-0069,IND-C0069,100.0,managing owner,2023-09-08,
OWN-1071,ENT-0070,IND-C0070,100.0,managing owner,2015-08-23,
OWN-1072,ENT-0071,IND-C0071,100.0,managing owner,2014-01-22,
OWN-1073,ENT-0072,IND-C0072,100.0,managing owner,2014-11-20,
OWN-1074,ENT-0073,IND-C0073,100.0,managing owner,2021-03-13,
OWN-1075,ENT-0074,IND-C0074,100.0,managing owner,2016-10-25,
OWN-1076,ENT-0075,IND-C0075,100.0,managing owner,2019-01-01,
OWN-1077,ENT-0076,IND-C0076,100.0,managing owner,2023-10-08,
OWN-1078,ENT-0077,IND-C0077,100.0,managing owner,2015-03-26,
OWN-1079,ENT-0078,IND-C0078,100.0,managing owner,2022-01-29,
OWN-1080,ENT-0079,IND-C0079,100.0,managing owner,2023-03-26,
OWN-1081,ENT-0080,IND-C0080,100.0,managing owner,2023-07-31,
OWN-1082,ENT-0081,IND-C0081,100.0,managing owner,2009-10-05,
OWN-1083,ENT-0082,IND-C0082,100.0,managing owner,2010-11-22,
OWN-1084,ENT-0083,IND-C0083,100.0,managing owner,2015-08-19,
OWN-1085,ENT-0084,IND-C0084,100.0,managing owner,2016-07-02,
OWN-1086,ENT-0085,IND-C0085,100.0,managing owner,2022-05-04,
OWN-1087,ENT-0086,IND-C0086,100.0,managing owner,2020-01-04,
OWN-1088,ENT-0087,IND-C0087,100.0,managing owner,2008-12-14,
OWN-1089,ENT-0088,IND-C0088,100.0,managing owner,2017-09-03,
OWN-1090,ENT-0089,IND-C0089,100.0,managing owner,2014-11-03,
OWN-1091,ENT-0090,IND-C0090,100.0,managing owner,2009-01-24,
OWN-1092,ENT-0091,IND-C0091,100.0,managing owner,2019-07-18,
OWN-1093,ENT-0092,IND-C0092,100.0,managing owner,2021-09-30,
OWN-1094,ENT-0093,IND-C0093,100.0,managing owner,2023-09-07,
OWN-1095,ENT-0094,IND-C0094,100.0,managing owner,2009-05-16,
OWN-1096,ENT-0095,IND-C0095,100.0,managing owner,2008-07-28,
OWN-1097,ENT-0096,IND-C0096,100.0,managing owner,2019-03-10,
OWN-1098,ENT-0097,IND-C0097,100.0,managing owner,2019-04-28,
OWN-1099,ENT-0098,IND-C0098,100.0,managing owner,2020-06-05,
OWN-1100,ENT-0099,IND-C0099,100.0,managing owner,2016-08-15,
OWN-1101,ENT-0100,IND-C0100,100.0,managing owner,2022-05-27,
OWN-1102,ENT-0101,IND-C0101,100.0,managing owner,2014-11-25,
OWN-1103,ENT-0102,IND-C0102,100.0,managing owner,2008-04-14,
OWN-1104,ENT-0103,IND-C0103,100.0,managing owner,2020-12-24,
OWN-1105,ENT-0104,IND-C0104,100.0,managing owner,2009-09-24,
OWN-1106,ENT-0105,IND-C0105,100.0,managing owner,2010-05-07,
OWN-1107,ENT-0106,IND-C0106,100.0,managing owner,2014-02-23,
OWN-1108,ENT-0107,IND-C0107,100.0,managing owner,2023-07-05,
OWN-1109,ENT-0108,IND-C0108,100.0,managing owner,2015-02-27,
OWN-1110,ENT-0109,IND-C0109,100.0,managing owner,2020-07-08,
OWN-1111,ENT-0110,IND-C0110,100.0,managing owner,2016-11-24,
OWN-1112,ENT-0111,IND-C0111,100.0,managing owner,2009-10-01,
OWN-1113,ENT-0112,IND-C0112,100.0,managing owner,2012-03-07,
OWN-1114,ENT-0113,IND-C0113,100.0,managing owner,2021-05-24,
OWN-1115,ENT-0114,IND-C0114,100.0,managing owner,2018-08-31,
OWN-1116,ENT-0115,IND-C0115,100.0,managing owner,2022-05-23,
OWN-1117,ENT-0116,IND-C0116,100.0,managing owner,2015-11-20,
OWN-1118,ENT-0117,IND-C0117,100.0,managing owner,2013-11-22,
OWN-1119,ENT-0118,IND-C0118,100.0,managing owner,2011-04-21,
OWN-1120,ENT-0119,IND-C0119,100.0,managing owner,2013-01-03,
OWN-1121,ENT-0120,IND-C0120,100.0,managing owner,2019-10-31,
OWN-1122,ENT-0121,IND-C0121,100.0,managing owner,2016-04-13,
OWN-1123,ENT-0122,IND-C0122,100.0,managing owner,2013-12-13,
OWN-1124,ENT-0123,IND-C0123,100.0,managing owner,2010-01-02,
OWN-1125,ENT-0124,IND-C0124,100.0,managing owner,2020-06-13,
OWN-1126,ENT-0125,IND-C0125,100.0,managing owner,2019-06-15,
OWN-1127,ENT-0126,IND-C0126,100.0,managing owner,2021-04-05,
OWN-1128,ENT-0127,IND-C0127,100.0,managing owner,2021-12-24,
OWN-1129,ENT-0128,IND-C0128,100.0,managing owner,2008-07-08,
OWN-1130,ENT-0129,IND-C0129,100.0,managing owner,2012-01-02,
OWN-1131,ENT-0130,IND-C0130,100.0,managing owner,2017-05-13,
OWN-1132,ENT-0131,IND-C0131,100.0,managing owner,2010-09-17,
OWN-1133,ENT-0132,IND-C0132,100.0,managing owner,2011-12-30,
OWN-1134,ENT-0133,IND-C0133,100.0,managing owner,2019-01-02,
OWN-1135,ENT-0134,IND-C0134,100.0,managing owner,2019-01-15,
OWN-1136,ENT-0135,IND-C0135,100.0,managing owner,2012-01-31,
OWN-1137,ENT-0136,IND-C0136,100.0,managing owner,2022-05-25,
OWN-1138,ENT-0137,IND-C0137,100.0,managing owner,2016-06-28,
OWN-1139,ENT-0138,IND-C0138,100.0,managing owner,2014-07-16,
OWN-1140,ENT-0139,IND-C0139,100.0,managing owner,2021-11-05,
OWN-1141,ENT-0140,IND-C0140,100.0,managing owner,2008-11-13,
OWN-1142,ENT-0141,IND-C0141,100.0,managing owner,2010-05-25,
OWN-1143,ENT-0142,IND-C0142,100.0,managing owner,2020-02-27,
OWN-1144,ENT-0143,IND-C0143,100.0,managing owner,2017-11-01,
OWN-1145,ENT-0144,IND-C0144,100.0,managing owner,2022-06-10,
OWN-1146,ENT-0145,IND-C0145,100.0,managing owner,2020-02-19,
OWN-1147,ENT-0146,IND-C0146,100.0,managing owner,2014-03-27,
OWN-1148,ENT-0147,IND-C0147,100.0,managing owner,2020-05-07,
OWN-1149,ENT-0148,IND-C0148,100.0,managing owner,2015-01-23,
OWN-1150,ENT-0149,IND-C0149,100.0,managing owner,2017-02-18,
OWN-1151,ENT-0150,IND-C0150,100.0,managing owner,2021-09-16,
OWN-1152,ENT-0151,IND-C0151,100.0,managing owner,2014-02-24,
OWN-1153,ENT-0152,IND-C0152,100.0,managing owner,2022-03-30,
OWN-1154,ENT-0153,IND-C0153,100.0,managing owner,2022-05-24,
OWN-1155,ENT-0154,IND-C0154,100.0,managing owner,2011-04-16,
OWN-1156,ENT-0155,IND-C0155,100.0,managing owner,2023-03-21,
OWN-1157,ENT-0156,IND-C0156,100.0,managing owner,2010-06-24,
OWN-1158,ENT-0157,IND-C0157,100.0,managing owner,2012-10-24,
OWN-1159,ENT-0158,IND-C0158,100.0,managing owner,2022-03-09,
OWN-1160,ENT-0159,IND-C0159,100.0,managing owner,2021-08-08,
OWN-1161,ENT-0160,IND-C0160,100.0,managing owner,2023-10-12,
OWN-1162,ENT-0161,IND-C0161,100.0,managing owner,2009-02-12,
OWN-1163,ENT-0162,IND-C0162,100.0,managing owner,2023-12-03,
OWN-1164,ENT-0163,IND-C0163,100.0,managing owner,2023-07-10,
OWN-1165,ENT-0164,IND-C0164,100.0,managing owner,2011-07-05,
OWN-1166,ENT-0165,IND-C0165,100.0,managing owner,2018-11-28,
OWN-1167,ENT-0166,IND-C0166,100.0,managing owner,2016-07-19,
OWN-1168,ENT-0167,IND-C0167,100.0,managing owner,2009-04-12,
OWN-1169,ENT-0168,IND-C0168,100.0,managing owner,2018-01-21,
OWN-1170,ENT-0169,IND-C0169,100.0,managing owner,2018-07-24,
OWN-1171,ENT-0170,IND-C0170,100.0,managing owner,2010-03-18,
OWN-1172,ENT-0171,IND-C0171,100.0,managing owner,2018-01-10,
OWN-1173,ENT-0172,IND-C0172,100.0,managing owner,2018-06-04,
OWN-1174,ENT-0173,IND-C0173,100.0,managing owner,2011-09-17,
OWN-1175,ENT-0174,IND-C0174,100.0,managing owner,2023-05-05,
OWN-1176,ENT-0175,IND-C0175,100.0,managing owner,2022-07-13,
OWN-1177,ENT-0176,IND-C0176,100.0,managing owner,2019-06-30,
OWN-1178,ENT-0177,IND-C0177,100.0,managing owner,2020-05-23,
OWN-1179,ENT-0178,IND-C0178,100.0,managing owner,2013-03-13,
OWN-1180,ENT-0179,IND-C0179,100.0,managing owner,2009-08-28,
OWN-1181,ENT-0180,IND-C0180,100.0,managing owner,2011-09-04,
OWN-1182,ENT-0181,IND-C0181,100.0,managing owner,2020-06-09,
OWN-1183,ENT-0182,IND-C0182,100.0,managing owner,2021-04-05,
OWN-1184,ENT-0183,IND-C0183,100.0,managing owner,2019-12-09,
OWN-1185,ENT-0184,IND-C0184,100.0,managing owner,2017-09-04,
OWN-1186,ENT-0185,IND-C0185,100.0,managing owner,2011-02-27,
OWN-1187,ENT-0186,IND-C0186,100.0,managing owner,2023-04-10,
OWN-1188,ENT-0187,IND-C0187,100.0,managing owner,2023-08-15,
OWN-1189,ENT-0188,IND-C0188,100.0,managing owner,2015-02-05,
OWN-1190,ENT-0189,IND-C0189,100.0,managing owner,2013-03-19,
OWN-1191,ENT-0190,IND-C0190,100.0,managing owner,2013-05-31,
OWN-1192,ENT-0191,IND-C0191,100.0,managing owner,2013-05-17,
OWN-1193,ENT-0192,IND-C0192,100.0,managing owner,2009-11-25,
OWN-1194,ENT-0193,IND-C0193,100.0,managing owner,2012-11-17,
OWN-1195,ENT-0194,IND-C0194,100.0,managing owner,2021-01-11,
OWN-1196,ENT-0195,IND-C0195,100.0,managing owner,2020-10-18,
OWN-1197,ENT-0196,IND-C0196,100.0,managing owner,2013-07-17,
OWN-1198,ENT-0197,IND-C0197,100.0,managing owner,2011-11-25,
OWN-1199,ENT-0198,IND-C0198,100.0,managing owner,2019-05-09,
OWN-1200,ENT-0199,IND-C0199,100.0,managing owner,2016-04-06,
OWN-1201,ENT-0200,IND-C0200,100.0,managing owner,2011-08-30,
OWN-1202,ENT-0201,IND-C0201,100.0,managing owner,2013-03-30,
OWN-1203,ENT-0202,IND-C0202,100.0,managing owner,2015-10-15,
OWN-1204,ENT-0203,IND-C0203,100.0,managing owner,2015-07-14,
OWN-1205,ENT-0204,IND-C0204,100.0,managing owner,2019-06-28,
OWN-1206,ENT-0205,IND-C0205,100.0,managing owner,2021-05-25,
OWN-1207,ENT-0206,IND-C0206,100.0,managing owner,2016-07-22,
OWN-1208,ENT-0207,IND-C0207,100.0,managing owner,2014-10-09,
OWN-1209,ENT-0208,IND-C0208,100.0,managing owner,2008-03-10,
OWN-1210,ENT-0209,IND-C0209,100.0,managing owner,2014-05-27,
OWN-1211,ENT-0210,IND-C0210,100.0,managing owner,2011-10-21,
OWN-1212,ENT-0211,IND-C0211,100.0,managing owner,2023-04-21,
OWN-1213,ENT-0212,IND-C0212,100.0,managing owner,2022-07-10,
OWN-1214,ENT-0213,IND-C0213,100.0,managing owner,2019-07-20,
OWN-1215,ENT-0214,IND-C0214,100.0,managing owner,2023-01-26,
OWN-1216,ENT-0215,IND-C0215,100.0,managing owner,2019-11-07,
OWN-1217,ENT-0216,IND-C0216,100.0,managing owner,2011-07-06,
OWN-1218,ENT-0217,IND-C0217,100.0,managing owner,2022-02-20,
OWN-1219,ENT-0218,IND-C0218,100.0,managing owner,2015-03-21,
OWN-1220,ENT-0219,IND-C0219,100.0,managing owner,2008-03-07,
OWN-1221,ENT-0220,IND-C0220,100.0,managing owner,2018-05-20,
OWN-1222,ENT-0221,IND-C0221,100.0,managing owner,2019-02-22,
OWN-1223,ENT-0222,IND-C0222,100.0,managing owner,2018-05-01,
OWN-1224,ENT-0223,IND-C0223,100.0,managing owner,2008-01-18,
OWN-1225,ENT-0224,IND-C0224,100.0,managing owner,2009-10-21,
OWN-1226,ENT-0225,IND-C0225,100.0,managing owner,2017-05-08,
OWN-1227,ENT-0226,IND-C0226,100.0,managing owner,2008-09-02,
OWN-1228,ENT-0227,IND-C0227,100.0,managing owner,2023-11-01,
OWN-1229,ENT-0228,IND-C0228,100.0,managing owner,2012-08-23,
OWN-1230,ENT-0229,IND-C0229,100.0,managing owner,2012-05-05,
OWN-1231,ENT-0230,IND-C0230,100.0,managing owner,2009-03-16,
OWN-1232,ENT-0231,IND-C0231,100.0,managing owner,2014-06-21,
OWN-1233,ENT-0232,IND-C0232,100.0,managing owner,2015-05-11,
OWN-1234,ENT-0233,IND-C0233,100.0,managing owner,2020-09-08,
OWN-1235,ENT-0234,IND-C0234,100.0,managing owner,2017-08-10,
OWN-1236,ENT-0235,IND-C0235,100.0,managing owner,2014-04-10,
OWN-1237,ENT-0236,IND-C0236,100.0,managing owner,2012-07-27,
OWN-1238,ENT-0237,IND-C0237,100.0,managing owner,2015-11-15,
OWN-1239,ENT-0238,IND-C0238,100.0,managing owner,2013-01-10,
OWN-1240,ENT-0239,IND-C0239,100.0,managing owner,2011-03-30,
OWN-1241,ENT-0240,IND-C0240,100.0,managing owner,2010-10-29,
OWN-1242,ENT-0241,IND-C0241,100.0,managing owner,2016-12-04,
OWN-1243,ENT-0242,IND-C0242,100.0,managing owner,2011-10-15,
OWN-1244,ENT-0243,IND-C0243,100.0,managing owner,2017-03-24,
OWN-1245,ENT-0244,IND-C0244,100.0,managing owner,2011-03-17,
OWN-1246,ENT-0245,IND-C0245,100.0,managing owner,2013-06-03,
OWN-1247,ENT-0246,IND-C0246,100.0,managing owner,2015-02-22,
OWN-1248,ENT-0247,IND-C0247,100.0,managing owner,2021-07-11,
OWN-1249,ENT-0248,IND-C0248,100.0,managing owner,2008-10-05,
OWN-1250,ENT-0249,IND-C0249,100.0,managing owner,2013-07-16,
OWN-1251,ENT-0250,IND-C0250,100.0,managing owner,2015-04-05,
OWN-1252,ENT-0251,IND-C0251,100.0,managing owner,2015-09-13,
OWN-1253,ENT-0252,IND-C0252,100.0,managing owner,2009-02-04,
OWN-1254,ENT-0253,IND-C0253,100.0,managing owner,2018-11-19,
OWN-1255,ENT-0254,IND-C0254,100.0,managing owner,2016-04-20,
OWN-1256,ENT-0255,IND-C0255,100.0,managing owner,2013-07-30,
OWN-1257,ENT-0256,IND-C0256,100.0,managing owner,2023-05-22,
OWN-1258,ENT-0257,IND-C0257,100.0,managing owner,2012-01-07,
OWN-1259,ENT-0258,IND-C0258,100.0,managing owner,2011-03-06,
OWN-1260,ENT-0259,IND-C0259,100.0,managing owner,2022-08-14,
OWN-1261,ENT-0260,IND-C0260,100.0,managing owner,2010-02-19,
OWN-1262,ENT-0261,IND-C0261,100.0,managing owner,2016-04-10,
OWN-1263,ENT-0262,IND-C0262,100.0,managing owner,2017-05-01,
OWN-1264,ENT-0263,IND-C0263,100.0,managing owner,2015-12-23,
OWN-1265,ENT-0264,IND-C0264,100.0,managing owner,2019-06-28,
OWN-1266,ENT-0265,IND-C0265,100.0,managing owner,2010-06-06,
OWN-1267,ENT-0266,IND-C0266,100.0,managing owner,2018-11-28,
OWN-1268,ENT-0267,IND-C0267,100.0,managing owner,2015-08-14,
OWN-1269,ENT-0268,IND-C0268,100.0,managing owner,2016-05-01,
OWN-1270,ENT-0269,IND-C0269,100.0,managing owner,2021-03-06,
OWN-1271,ENT-0270,IND-C0270,100.0,managing owner,2019-12-30,
OWN-1272,ENT-0271,IND-C0271,100.0,managing owner,2012-06-20,
OWN-1273,ENT-0272,IND-C0272,100.0,managing owner,2008-10-22,
OWN-1274,ENT-0273,IND-C0273,100.0,managing owner,2011-09-23,
OWN-1275,ENT-0274,IND-C0274,100.0,managing owner,2014-08-15,
OWN-1276,ENT-0275,IND-C0275,100.0,managing owner,2008-03-16,
OWN-1277,ENT-0276,IND-C0276,100.0,managing owner,2011-04-26,
OWN-1278,ENT-0277,IND-C0277,100.0,managing owner,2015-08-18,
OWN-1279,ENT-0278,IND-C0278,100.0,managing owner,2013-08-27,
OWN-1280,ENT-0279,IND-C0279,100.0,managing owner,2014-09-22,
OWN-0010,ENT-HARBOR,IND-MALEN-HARBOR,100.0,managing owner,2021-02-11,2024-01-30
OWN-0030,ENT-COASTAL,IND-MALEN-COASTAL,75.0,managing owner,2026-05-28,2026-05-28
OWN-0031,ENT-COASTAL,IND-KLINE,75.0,managing owner,2026-05-28,
OWN-1281,ENT-TIDEWATER,IND-DRAKE,100.0,beneficial owner,2025-11-05,
OWN-1282,ENT-GULFSTREAM,IND-VOSS,100.0,beneficial owner,2026-01-08,
OWN-1283,ENT-REDOAK,IND-PYNE-CUR,100.0,managing owner,2026-03-01,
OWN-1284,ENT-MARSHVIEW,IND-MARSH,100.0,managing owner,2026-04-15,
OWN-1285,ENT-BEACON,IND-BEACON,100.0,managing owner,2011-05-02,
OWN-1286,ENT-CLEARPATH,IND-CLEAR,100.0,managing owner,2014-09-14,
OWN-1287,ENT-NORTHSTAR,IND-MALEN-DECOY,100.0,managing owner,2019-02-01,
OWN-1288,ENT-PROBE-V1,IND-MALEN-P1,80.0,managing owner,2026-05-01,2026-05-01
OWN-1289,ENT-PROBE-V1,IND-PSTRAW-1,80.0,managing owner,2026-05-01,
OWN-1290,ENT-PROBE-V2,IND-PSTRAW-2,100.0,managing owner,2026-05-02,
OWN-1291,ENT-PROBE-V3,IND-PSTRAW-3,100.0,managing owner,2026-05-03,
OWN-1292,ENT-PROBE-V4,IND-PSTRAW-4,100.0,managing owner,2026-05-04,
