entity_id,legal_name,entity_type,formed_date,status,address_id,agent_id,application_date,revoked_date
ENT-0088,Pratt Home LLC,Home health,2017-09-03,enrolled,ADDR-C0088,AGT-000,,
ENT-0089,Frost Physical Inc,Physical therapy,2014-11-03,enrolled,ADDR-C0089,AGT-007,,
ENT-0090,Drake Radiology PC,Radiology,2009-01-24,enrolled,ADDR-C0090,AGT-003,,
ENT-0091,Ames Lab PC,Lab services,2019-07-18,enrolled,ADDR-C0091,AGT-006,,
ENT-0092,Reyes Behavioral LLC,Behavioral health,2021-09-30,enrolled,ADDR-C0092,AGT-001,,
ENT-0093,Hune Behavioral Inc,Behavioral health,2023-09-07,enrolled,ADDR-C0093,AGT-003,,
ENT-0094,Zane Radiology Group,Radiology,2009-05-16,enrolled,ADDR-C0094,AGT-003,,
ENT-0095,Frost Family Inc,Family practice,2008-07-28,enrolled,ADDR-C0095,AGT-006,,
ENT-0096,Drake Cardiology LLC,Cardiology,2019-03-10,enrolled,ADDR-C0096,AGT-001,,
ENT-0097,Roth Home PC,Home health,2019-04-28,enrolled,ADDR-C0097,AGT-005,,
ENT-0098,Ward Cardiology LLC,Cardiology,2020-06-05,enrolled,ADDR-C0098,AGT-003,,
ENT-0099,Boyd Radiology PC,Radiology,2016-08-15,enrolled,ADDR-C0099,AGT-007,,
ENT-0100,Hune DME Group,DME supplier,2022-05-27,enrolled,ADDR-C0100,AGT-002,,
ENT-0101,Dunmore Home PC,Home health,2014-11-25,enrolled,ADDR-C0101,AGT-002,,
ENT-0102,Pike Cardiology LLC,Cardiology,2008-04-14,enrolled,ADDR-C0102,AGT-000,,
ENT-0103,Quill Physical PC,Physical therapy,2020-12-24,enrolled,ADDR-C0103,AGT-007,,
ENT-0104,Quill DME Group,DME supplier,2009-09-24,enrolled,ADDR-C0104,AGT-000,,
ENT-0105,Kerr Radiology Group,Radiology,2010-05-07,enrolled,ADDR-C0105,AGT-003,,
ENT-0106,Ward Physical PC,Physical therapy,2014-02-23,applying,ADDR-C0106,AGT-001,2024-02-13,
ENT-0107,Reyes Behavioral Inc,Behavioral health,2023-07-05,enrolled,ADDR-C0107,AGT-004,,
ENT-0108,Udall Family LLC,Family practice,2015-02-27,enrolled,ADDR-C0108,AGT-001,,
ENT-0109,Calder Physical LLC,Physical therapy,2020-07-08,enrolled,ADDR-C0109,AGT-001,,
ENT-0110,Drake Home Group,Home health,2016-11-24,enrolled,ADDR-C0110,AGT-002,,
ENT-0111,Gale Physical Inc,Physical therapy,2009-10-01,enrolled,ADDR-C0111,AGT-005,,
ENT-0112,Roth Cardiology Inc,Cardiology,2012-03-07,enrolled,ADDR-C0112,AGT-006,,
ENT-0113,Thorpe Physical LLC,Physical therapy,2021-05-24,enrolled,ADDR-C0113,AGT-001,,
ENT-0114,Hune Lab Group,Lab services,2018-08-31,enrolled,ADDR-C0114,AGT-004,,
ENT-0115,Hune Family LLC,Family practice,2022-05-23,enrolled,ADDR-C0115,AGT-006,,
ENT-0116,Reyes Lab PC,Lab services,2015-11-20,enrolled,ADDR-C0116,AGT-000,,
ENT-0117,Ordway Family LLC,Family practice,2013-11-22,enrolled,ADDR-C0117,AGT-005,,
ENT-0118,Calder Radiology Inc,Radiology,2011-04-21,applying,ADDR-C0118,AGT-003,2026-08-29,
ENT-0119,Roth Radiology Inc,Radiology,2013-01-03,enrolled,ADDR-C0119,AGT-002,,
ENT-0120,Dunmore Cardiology Group,Cardiology,2019-10-31,enrolled,ADDR-C0120,AGT-000,,
ENT-0121,Hart Family LLC,Family practice,2016-04-13,enrolled,ADDR-C0121,AGT-000,,
ENT-0122,Pike Family Group,Family practice,2013-12-13,enrolled,ADDR-C0122,AGT-003,,
ENT-0123,Pike Behavioral Group,Behavioral health,2010-01-02,enrolled,ADDR-C0123,AGT-004,,
ENT-0124,Udall Physical PC,Physical therapy,2020-06-13,enrolled,ADDR-C0124,AGT-004,,
ENT-0125,Ablett Home Group,Home health,2019-06-15,applying,ADDR-C0125,AGT-000,2024-02-28,
ENT-0126,Lund DME Inc,DME supplier,2021-04-05,enrolled,ADDR-C0126,AGT-004,,
ENT-0127,Hune Family Group,Family practice,2021-12-24,enrolled,ADDR-C0127,AGT-002,,
ENT-0128,Pratt Home Inc,Home health,2008-07-08,enrolled,ADDR-C0128,AGT-001,,
ENT-0129,Benoit Cardiology PC,Cardiology,2012-01-02,enrolled,ADDR-C0129,AGT-003,,
ENT-0130,Boyd Home Group,Home health,2017-05-13,applying,ADDR-C0130,AGT-004,2026-02-28,
ENT-0131,Ordway Family PC,Family practice,2010-09-17,enrolled,ADDR-C0131,AGT-000,,
ENT-0132,York DME LLC,DME supplier,2011-12-30,enrolled,ADDR-C0132,AGT-007,,
ENT-0133,Ordway Home Group,Home health,2019-01-02,applying,ADDR-C0133,AGT-001,2025-10-13,
ENT-0134,Sable Cardiology PC,Cardiology,2019-01-15,enrolled,ADDR-C0134,AGT-004,,
ENT-0135,Lund DME LLC,DME supplier,2012-01-31,enrolled,ADDR-C0135,AGT-002,,
ENT-0136,Ames Home LLC,Home health,2022-05-25,enrolled,ADDR-C0136,AGT-003,,
ENT-0137,Pratt Lab Group,Lab services,2016-06-28,applying,ADDR-C0137,AGT-002,2025-10-01,
ENT-0138,Voss Cardiology LLC,Cardiology,2014-07-16,enrolled,ADDR-C0138,AGT-001,,
ENT-0139,Benoit Family LLC,Family practice,2021-11-05,enrolled,ADDR-C0139,AGT-002,,
ENT-0140,Marsh Family Inc,Family practice,2008-11-13,enrolled,ADDR-C0140,AGT-001,,
ENT-0141,Osei Lab Group,Lab services,2010-05-25,applying,ADDR-C0141,AGT-006,2024-08-07,
ENT-0142,Quill Behavioral LLC,Behavioral health,2020-02-27,enrolled,ADDR-C0142,AGT-001,,
ENT-0143,Reyes Physical LLC,Physical therapy,2017-11-01,enrolled,ADDR-C0143,AGT-001,,
ENT-0144,Ablett Lab LLC,Lab services,2022-06-10,enrolled,ADDR-C0144,AGT-003,,
ENT-0145,Zane DME LLC,DME supplier,2020-02-19,enrolled,ADDR-C0145,AGT-002,,
ENT-0146,Dunmore Home PC,Home health,2014-03-27,enrolled,ADDR-C0146,AGT-000,,
ENT-0147,Frost Home PC,Home health,2020-05-07,enrolled,ADDR-C0147,AGT-004,,
ENT-0148,Pike Cardiology Inc,Cardiology,2015-01-23,enrolled,ADDR-C0148,AGT-001,,
ENT-0149,Zane Radiology Group,Radiology,2017-02-18,enrolled,ADDR-C0149,AGT-007,,
ENT-0150,Gale Home LLC,Home health,2021-09-16,enrolled,ADDR-C0150,AGT-002,,
ENT-0151,Hune Physical PC,Physical therapy,2014-02-24,enrolled,ADDR-C0151,AGT-004,,
ENT-0152,Ablett Radiology Group,Radiology,2022-03-30,enrolled,ADDR-C0152,AGT-002,,
ENT-0153,Ward Physical Inc,Physical therapy,2022-05-24,enrolled,ADDR-C0153,AGT-004,,
ENT-0154,Udall Physical PC,Physical therapy,2011-04-16,enrolled,ADDR-C0154,AGT-007,,
ENT-0155,Nolan Behavioral Inc,Behavioral health,2023-03-21,enrolled,ADDR-C0155,AGT-007,,
ENT-0156,Voss DME LLC,DME supplier,2010-06-24,applying,ADDR-C0156,AGT-002,2024-11-27,
ENT-0157,Nolan Radiology Group,Radiology,2012-10-24,enrolled,ADDR-C0157,AGT-006,,
ENT-0158,Thorpe Cardiology PC,Cardiology,2022-03-09,enrolled,ADDR-C0158,AGT-004,,
ENT-0159,Roth Cardiology Inc,Cardiology,2021-08-08,enrolled,ADDR-C0159,AGT-004,,
ENT-0160,Reyes DME LLC,DME supplier,2023-10-12,enrolled,ADDR-C0160,AGT-003,,
ENT-0161,Benoit DME Inc,DME supplier,2009-02-12,enrolled,ADDR-C0161,AGT-001,,
ENT-0162,Voss Cardiology Group,Cardiology,2023-12-03,enrolled,ADDR-C0162,AGT-001,,
ENT-0163,Pike Family PC,Family practice,2023-07-10,enrolled,ADDR-C0163,AGT-000,,
ENT-0164,Nolan Behavioral LLC,Behavioral health,2011-07-05,enrolled,ADDR-C0164,AGT-001,,
ENT-0165,York Physical LLC,Physical therapy,2018-11-28,enrolled,ADDR-C0165,AGT-002,,
ENT-0166,York Home LLC,Home health,2016-07-19,enrolled,ADDR-C0166,AGT-006,,
ENT-0167,Boyd Family Group,Family practice,2009-04-12,enrolled,ADDR-C0167,AGT-000,,
ENT-0168,Ordway Family LLC,Family practice,2018-01-21,enrolled,ADDR-C0168,AGT-001,,
ENT-0169,Ward Home PC,Home health,2018-07-24,enrolled,ADDR-C0169,AGT-007,,
ENT-0170,Benoit Behavioral PC,Behavioral health,2010-03-18,enrolled,ADDR-C0170,AGT-004,,
ENT-0171,Calder Home PC,Home health,2018-01-10,enrolled,ADDR-C0171,AGT-002,,
ENT-0172,Boyd Home LLC,Home health,2018-06-04,enrolled,ADDR-C0172,AGT-000,,
ENT-0173,Benoit Behavioral PC,Behavioral health,2011-09-17,enrolled,ADDR-C0173,AGT-004,,
ENT-0174,Reyes Behavioral Group,Behavioral health,2023-05-05,enrolled,ADDR-C0174,AGT-004,,
ENT-0175,Marsh DME Group,DME supplier,2022-07-13,enrolled,ADDR-C0175,AGT-004,,
ENT-0176,Pike Behavioral PC,Behavioral health,2019-06-30,enrolled,ADDR-C0176,AGT-007,,
ENT-0177,Sable Lab Inc,Lab services,2020-05-23,enrolled,ADDR-C0177,AGT-007,,
ENT-0178,Vance Cardiology LLC,Cardiology,2013-03-13,enrolled,ADDR-C0178,AGT-005,,
ENT-0179,Pike Lab PC,Lab services,2009-08-28,enrolled,ADDR-C0179,AGT-003,,
ENT-0180,Calder Family Group,Family practice,2011-09-04,enrolled,ADDR-C0180,AGT-004,,
ENT-0181,Cross Home Group,Home health,2020-06-09,applying,ADDR-C0181,AGT-007,2024-09-08,
ENT-0182,Ames Behavioral Inc,Behavioral health,2021-04-05,enrolled,ADDR-C0182,AGT-000,,
ENT-0183,Pratt Cardiology PC,Cardiology,2019-12-09,applying,ADDR-C0183,AGT-007,2024-11-01,
ENT-0184,Ordway Radiology PC,Radiology,2017-09-04,enrolled,ADDR-C0184,AGT-001,,
ENT-0185,Voss Behavioral PC,Behavioral health,2011-02-27,enrolled,ADDR-C0185,AGT-006,,
ENT-0186,Dunmore DME PC,DME supplier,2023-04-10,enrolled,ADDR-C0186,AGT-000,,
ENT-0187,Ames Lab PC,Lab services,2023-08-15,enrolled,ADDR-C0187,AGT-004,,
ENT-0188,Ordway Physical Group,Physical therapy,2015-02-05,applying,ADDR-C0188,AGT-002,2024-10-24,
ENT-0189,Sable Physical Inc,Physical therapy,2013-03-19,applying,ADDR-C0189,AGT-003,2026-09-20,
ENT-0190,Vance Lab LLC,Lab services,2013-05-31,enrolled,ADDR-C0190,AGT-002,,
ENT-0191,Lund Radiology PC,Radiology,2013-05-17,enrolled,ADDR-C0191,AGT-004,,
ENT-0192,Kerr Radiology PC,Radiology,2009-11-25,enrolled,ADDR-C0192,AGT-004,,
ENT-0193,Hune DME Inc,DME supplier,2012-11-17,enrolled,ADDR-C0193,AGT-005,,
ENT-0194,Pike Radiology LLC,Radiology,2021-01-11,enrolled,ADDR-C0194,AGT-005,,
ENT-0195,Osei Radiology Group,Radiology,2020-10-18,enrolled,ADDR-C0195,AGT-007,,
ENT-0196,Cross Lab PC,Lab services,2013-07-17,applying,ADDR-C0196,AGT-003,2025-03-01,
ENT-0197,Pike Behavioral LLC,Behavioral health,2011-11-25,enrolled,ADDR-C0197,AGT-003,,
ENT-0198,Thorpe Radiology Inc,Radiology,2019-05-09,applying,ADDR-C0198,AGT-004,2024-07-11,
ENT-0199,Hart Family Inc,Family practice,2016-04-06,enrolled,ADDR-C0199,AGT-001,,
ENT-0200,York Lab Inc,Lab services,2011-08-30,applying,ADDR-C0200,AGT-007,2025-11-02,
ENT-0201,Calder Home LLC,Home health,2013-03-30,enrolled,ADDR-C0201,AGT-002,,
ENT-0202,Dunmore Lab PC,Lab services,2015-10-15,enrolled,ADDR-C0202,AGT-000,,
ENT-0203,Marsh Radiology Inc,Radiology,2015-07-14,enrolled,ADDR-C0203,AGT-001,,
ENT-0204,Reyes DME Group,DME supplier,2019-06-28,enrolled,ADDR-C0204,AGT-002,,
ENT-0205,Reyes Home PC,Home health,2021-05-25,enrolled,ADDR-C0205,AGT-006,,
ENT-0206,Hart Family PC,Family practice,2016-07-22,enrolled,ADDR-C0206,AGT-007,,
ENT-0207,Ablett Home Inc,Home health,2014-10-09,enrolled,ADDR-C0207,AGT-006,,
ENT-0208,Quill Radiology Inc,Radiology,2008-03-10,enrolled,ADDR-C0208,AGT-002,,
ENT-0209,Gale DME LLC,DME supplier,2014-05-27,enrolled,ADDR-C0209,AGT-007,,
ENT-0210,Osei Behavioral LLC,Behavioral health,2011-10-21,enrolled,ADDR-C0210,AGT-002,,
ENT-0211,Thorpe DME Group,DME supplier,2023-04-21,enrolled,ADDR-C0211,AGT-007,,
ENT-0212,Ward Home Group,Home health,2022-07-10,enrolled,ADDR-C0212,AGT-003,,
ENT-0213,Gale Radiology Group,Radiology,2019-07-20,enrolled,ADDR-C0213,AGT-003,,
ENT-0214,Marsh Family Inc,Family practice,2023-01-26,enrolled,ADDR-C0214,AGT-001,,
ENT-0215,York Radiology PC,Radiology,2019-11-07,enrolled,ADDR-C0215,AGT-002,,
ENT-0216,Cross Behavioral Group,Behavioral health,2011-07-06,enrolled,ADDR-C0216,AGT-006,,
ENT-0217,Benoit Family LLC,Family practice,2022-02-20,enrolled,ADDR-C0217,AGT-004,,
ENT-0218,Ames Family Inc,Family practice,2015-03-21,enrolled,ADDR-C0218,AGT-000,,
ENT-0219,Nolan DME LLC,DME supplier,2008-03-07,enrolled,ADDR-C0219,AGT-000,,
ENT-0220,Hune Behavioral Group,Behavioral health,2018-05-20,enrolled,ADDR-C0220,AGT-002,,
ENT-0221,Voss Radiology PC,Radiology,2019-02-22,enrolled,ADDR-C0221,AGT-001,,
ENT-0222,Nolan Behavioral Inc,Behavioral health,2018-05-01,enrolled,ADDR-C0222,AGT-001,,
ENT-0223,Hune Cardiology LLC,Cardiology,2008-01-18,enrolled,ADDR-C0223,AGT-005,,
ENT-0224,Zane Home LLC,Home health,2009-10-21,applying,ADDR-C0224,AGT-004,2025-11-19,
ENT-0225,Cross Family Inc,Family practice,2017-05-08,applying,ADDR-C0225,AGT-002,2024-10-30,
ENT-0226,Nolan Behavioral PC,Behavioral health,2008-09-02,enrolled,ADDR-C0226,AGT-006,,
ENT-0227,Ablett Family Group,Family practice,2023-11-01,enrolled,ADDR-C0227,AGT-004,,
ENT-0228,Hune Lab Inc,Lab services,2012-08-23,enrolled,ADDR-C0228,AGT-005,,
ENT-0229,York DME LLC,DME supplier,2012-05-05,enrolled,ADDR-C0229,AGT-007,,
ENT-0230,Calder Lab Inc,Lab services,2009-03-16,applying,ADDR-C0230,AGT-002,2024-02-24,
ENT-0231,Gale Lab PC,Lab services,2014-06-21,enrolled,ADDR-C0231,AGT-006,,
ENT-0232,Roth Radiology Inc,Radiology,2015-05-11,enrolled,ADDR-C0232,AGT-007,,
ENT-0233,Udall Family PC,Family practice,2020-09-08,enrolled,ADDR-C0233,AGT-004,,
ENT-0234,Reyes Lab PC,Lab services,2017-08-10,applying,ADDR-C0234,AGT-001,2025-02-15,
ENT-0235,Lund Lab LLC,Lab services,2014-04-10,enrolled,ADDR-C0235,AGT-005,,
ENT-0236,Ordway Cardiology LLC,Cardiology,2012-07-27,enrolled,ADDR-C0236,AGT-000,,
ENT-0237,Hune Physical LLC,Physical therapy,2015-11-15,enrolled,ADDR-C0237,AGT-005,,
ENT-0238,Zane Home PC,Home health,2013-01-10,enrolled,ADDR-C0238,AGT-004,,
ENT-0239,Calder Radiology Inc,Radiology,2011-03-30,enrolled,ADDR-C0239,AGT-007,,
ENT-0240,Vance Home Group,Home health,2010-10-29,enrolled,ADDR-C0240,AGT-001,,
ENT-0241,Nolan Cardiology Inc,Cardiology,2016-12-04,enrolled,ADDR-C0241,AGT-000,,
ENT-0242,Nolan Home Inc,Home health,2011-10-15,enrolled,ADDR-C0242,AGT-000,,
ENT-0243,Hune Family Inc,Family practice,2017-03-24,enrolled,ADDR-C0243,AGT-007,,
ENT-0244,Ordway Cardiology Inc,Cardiology,2011-03-17,enrolled,ADDR-C0244,AGT-004,,
ENT-0245,Pike Radiology PC,Radiology,2013-06-03,enrolled,ADDR-C0245,AGT-005,,
ENT-0246,Zane Home Group,Home health,2015-02-22,enrolled,ADDR-C0246,AGT-006,,
ENT-0247,Hune Family LLC,Family practice,2021-07-11,enrolled,ADDR-C0247,AGT-001,,
ENT-0248,Gale Lab PC,Lab services,2008-10-05,enrolled,ADDR-C0248,AGT-003,,
ENT-0249,York Physical LLC,Physical therapy,2013-07-16,enrolled,ADDR-C0249,AGT-007,,
ENT-0250,York Lab LLC,Lab services,2015-04-05,enrolled,ADDR-C0250,AGT-004,,
ENT-0251,Hart DME LLC,DME supplier,2015-09-13,enrolled,ADDR-C0251,AGT-003,,
ENT-0252,Marsh Radiology PC,Radiology,2009-02-04,enrolled,ADDR-C0252,AGT-003,,
ENT-0253,Quill Home Group,Home health,2018-11-19,enrolled,ADDR-C0253,AGT-002,,
ENT-0254,Nolan DME Group,DME supplier,2016-04-20,enrolled,ADDR-C0254,AGT-004,,
ENT-0255,Lund Radiology Group,Radiology,2013-07-30,applying,ADDR-C0255,AGT-002,2025-11-21,
ENT-0256,Pike Family LLC,Family practice,2023-05-22,enrolled,ADDR-C0256,AGT-005,,
ENT-0257,Thorpe Behavioral PC,Behavioral health,2012-01-07,enrolled,ADDR-C0257,AGT-001,,
ENT-0258,Lund Home Inc,Home health,2011-03-06,enrolled,ADDR-C0258,AGT-005,,
ENT-0259,Voss Lab LLC,Lab services,2022-08-14,enrolled,ADDR-C0259,AGT-005,,
ENT-0260,Pratt Cardiology Group,Cardiology,2010-02-19,enrolled,ADDR-C0260,AGT-002,,
ENT-0261,Pratt Home Inc,Home health,2016-04-10,enrolled,ADDR-C0261,AGT-004,,
ENT-0262,Gale Cardiology PC,Cardiology,2017-05-01,applying,ADDR-C0262,AGT-000,2024-07-01,
ENT-0263,Ablett Radiology PC,Radiology,2015-12-23,applying,ADDR-C0263,AGT-000,2026-03-02,
ENT-0264,Ames Behavioral LLC,Behavioral health,2019-06-28,enrolled,ADDR-C0264,AGT-007,,
ENT-0265,Benoit Lab LLC,Lab services,2010-06-06,enrolled,ADDR-C0265,AGT-001,,
ENT-0266,Cross Family PC,Family practice,2018-11-28,enrolled,ADDR-C0266,AGT-007,,
